K00001	Adh; Alcohol dehydrogenase (EC:1.1.1.1 1.2.1.10); K00001 alcohol dehydrogenase [EC:1.1.1.1] (A)
K15844	hopB; Outer membrane protein/porin; K15844 outer membrane protein HopB/AlpB (A)
K15845	outer membrane protein HopZ; K15845 outer membrane protein HopZ (A)
K15846	neuraminyllactose-binding hemagglutinin HpaA; K15846 neuraminyllactose-binding hemagglutinin (A)
K15847	outer membrane protein BabA; K15847 outer membrane protein BabA (A)
K15848	outer membrane protein SabA; K15848 outer membrane protein SabA (A)
K15849	AAT; aspartate aminotransferase; K15849 bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [EC:2.6.1.1 2.6.1.78 2.6.1.79] (A)
K15850	sensor protein LuxN; K15850 two-component system, autoinducer 1 sensor kinase/phosphatase LuxN [EC:2.7.13.3 3.1.3.-] (A)
K15852	LuxR family transcriptional regulator; K15852 LuxR family transcriptional regulator, transcriptional activator of the bioluminescence operon (A)
K15853	luxD; acyl transferase; K15853 acyl transferase [EC:2.3.1.-] (A)
K15854	luxB; alkanal monooxygenase subunit beta; K15854 alkanal monooxygenase beta chain [EC:1.14.14.3] (A)
K15855	similar to exo-beta-D-glucosaminidase; K15855 exo-1,4-beta-D-glucosaminidase [EC:3.2.1.165] (A)
K15856	RecName: Full=GDP-6-deoxy-D-mannose reductase; EC=1.1.1.281;
K15857	RecName: Full=Cytochrome b; Flags: Fragment;
K15858	SubName: Full=Dihydrofolate reductase-thymidylate synthase; Flags: Fragment;
K15859	SKN7, BRY1, POS9; Skn7p; K15859 osomolarity two-component system, response regulator SKN7 (A)
K15861	fixK; transcriptional regulator FixK; K15861 CRP/FNR family transcriptional regulator, nitrogen fixation regulation protein (A)
K15862	fixN; cytochrome c oxidase, cbb3-type, subunit I (EC:1.9.3.1); K15862 cytochrome c oxidase cbb3-type subunit I/II [EC:1.9.3.1] (A)
K15863	NuoL; NADH dehydrogenase subunit L (NuoL); K15863 NADH-quinone oxidoreductase subunit L/M [EC:1.6.5.3] (A)
K15864	nirN; cytochrome C; K15864 nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1] (A)
K15865	CDKAL1; CDK5 regulatory subunit associated protein 1-like 1; K15865 CDK5 regulatory subunit-associated protein 1-like 1 (A)
K15866	paaG; 1,2-epoxyphenylacetyl-CoA isomerase, oxepin-CoA-forming (EC:4.2.1.17); K15866 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18] (A)
K15867	ARC, Arg3.1; activity-regulated cytoskeleton-associated protein; K15867 activity-regulated cytoskeleton-associated protein (A)
K15868	AMP-dependent synthetase and ligase; K15868 bile acid-coenzyme A ligase (A)
K15869	SubName: Full=BaiA;
K15870	RecName: Full=Bile acid-inducible operon protein CD; AltName: Full=Bile acid-inducible operon protein C; AltName: Full=Bile acid-inducible operon protein D;
K15871	RecName: Full=Bile acid-CoA hydrolase; EC=3.1.2.26; AltName: Full=Bile acid-coenzyme A hydrolase; AltName: Full=Bile acid-inducible operon protein F;
K15872	RecName: Full=Bile acid 7-alpha dehydratase; Short=BA7 alpha dehydratase; EC=4.2.1.106; AltName: Full=Bile acid-inducible operon protein E;
K15873	SubName: Full=BaiH;
K15874	RecName: Full=Bile acid-inducible operon protein I; Flags: Fragment;
K15875	RecName: Full=Nitrate reductase [NAD(P)H]; Short=NR; EC=1.7.1.2; Flags: Fragment;
K15876	NRFH; small subunit of cytochrome c nitrite reductase; K15876 cytochrome c-type protein (A)
K15877	cytochrome P450 55A2; K15877 fungal nitric oxide reductase [EC:1.7.1.14] (A)
K15878	petA; Rieske iron-sulfur protein; K15878 rieske iron-sulphur protein (A)
K15879	petB2; cytochrome B6; K15879 cytochrome b-561 (A)
K15880	RecName: Full=Tetracenomycin C polyketide putative beta-ketoacyl synthase 1; EC=2.3.1.-;
K15881	RecName: Full=Tetracenomycin C polyketide putative beta-ketoacyl synthase 2; EC=2.3.1.-;
K15882	RecName: Full=Tetracenomycin C polyketide synthase acyl carrier protein; Short=ACP;
K15883	SubName: Full=Putative uncharacterized protein;
K15884	SubName: Full=Putative uncharacterized protein;
K15885	SubName: Full=High cysteine membrane protein Group 4;
K15886	RecName: Full=Multifunctional cyclase-dehydratase-3-O-methyl transferase tcmN;
K15887	RecName: Full=(2Z,6Z)-farnesyl diphosphate synthase, chloroplastic; EC=2.5.1.92; AltName: Full=Z,Z-FPP synthase; AltName: Full=Z,Z-farnesyl pyrophosphate synthase; Flags: Precursor;
K15888	undecaprenyl diphosphate synthase (EC:2.5.1.31); K15888 tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific] [EC:2.5.1.89] (A)
K15889	PCME; prenylcysteine methylesterase; K15889 prenylcysteine alpha-carboxyl methylesterase [EC:3.1.1.-] (A)
K15890	SubName: Full=NADP+-dependent farnesol dehydrogenase 1; EC=1.1.1.216;
K15891	FLDH; Rossmann-fold NAD(P)-binding domain-containing protein; K15891 farnesol dehydrogenase [EC:1.1.1.216] (A)
K15892	putative phytol kinase 2; K15892 farnesol kinase [EC:2.7.1.-] (A)
K15893	HPR; hydroxypyruvate reductase; K15893 hydroxypyruvate reductase 1 (A)
K15894	polysaccharide biosynthesis protein CapD; K15894 UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.115] (A)
K15895	spore coat polysaccharide biosynthesis protein C; K15895 UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase [EC:2.6.1.92] (A)
K15896	flagellar protein FlaG; K15896 UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine N-acetyltransferase [EC:2.3.1.-] (A)
K15897	pseudaminic acid biosynthesis-associated protein PseG; K15897 UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [EC:3.6.1.57] (A)
K15898	N-acetylneuraminic acid synthetase; K15898 pseudaminic acid synthase [EC:2.5.1.97] (A)
K15899	pseudaminic acid cmp-transferase; K15899 pseudaminic acid cytidylyltransferase [EC:2.7.7.81] (A)
K15900	OSGEP, GCPL1, KAE1, OSGEP1, PRSMG1; O-sialoglycoprotein endopeptidase (EC:3.4.24.57); K15900 tRNA threonylcarbamoyladenosine biosynthesis protein (A)
K15901	TPRKB; TP53RK binding protein; K15901 protein CGI121 (A)
K15902	LAGE3, CVG5, DXS9879E, DXS9951E, ESO3, ITBA2; L antigen family, member 3; K15902 polarized growth chromatin-associated controller 1 (A)
K15903	GON7, LDB6, PCC2; Gon7p; K15903 protein GON7 (A)
K15904	O-sialoglycoprotein endopeptidase/protein kinase; K15904 bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein [EC:2.7.11.1] (A)
K15905	nitrate reductase subunit alpha (EC:1.97.1.9); K15905 nitrite oxidoreductase alpha subunit (A)
K15906	nitrate reductase subunit beta (EC:1.7.99.4); K15906 nitrite oxidoreductase beta subunit (A)
K15907	cyp183B1; cytochrome P450 183B1 Cyp183B1; K15907 pentalenene oxygenase [EC:1.14.13.133] (A)
K15908	EAP1; Eap1p; K15908 protein EAP1 (A)
K15909	INPPL1, SHIP2; inositol polyphosphate phosphatase-like 1 (EC:3.1.3.86); K15909 phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2 [EC:3.1.3.86] (A)
K15910	wlaK; aminotransferase-like protein; K15910 UDP-4-amino-4,6-dideoxy-alpha-D-N-acetyl-D-glucosamine transaminase [EC:2.6.1.91] (A)
K15912	PGLF; sugar epimerase/dehydratase; K15912 UDP-N-acetyl-D-glucosamine 4,6-dehydratase [EC:4.2.1.-] (A)
K15913	PGLB; PGLB (pilin glycosylation protein PGLB); K15913 UDP-4-amino-4,6-dideoxy-N-acetyl-D-glucosamine 4-acetyltransferase [EC:2.3.1.-] (A)
K15914	WCGN; phosphate transferase; K15914 N-acetyl-D-galactosamine transferase [EC:2.4.1.-] (A)
K15915	WLAG; galactosyltransferase; K15915 UDP-N,N'-diacetylbacillosamine undecaprenylphosphate glucosylphosphate transferase [EC:2.7.8.-] (A)
K15916	bifunctional phosphoglucose/phosphomannose isomerase; K15916 glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8] (A)
K15917	GAL10; Gal10p; K15917 UDP-glucose 4-epimerase / aldose 1-epimerase [EC:5.1.3.2 5.1.3.3] (A)
K15918	D-glycerate 3-kinase; K15918 D-glycerate 3-kinase [EC:2.7.1.31] (A)
K15919	putative D-isomer specific 2-hydroxyacid dehydrogenase; K15919 hydroxypyruvate reductase 2 (A)
K15920	XYL4; beta-D-xylosidase 4; K15920 beta-D-xylosidase 4 [EC:3.2.1.37] (A)
K15921	xynD; endo-1,4-beta-xylanase (EC:3.2.1.8); K15921 arabinoxylan arabinofuranohydrolase [EC:3.2.1.55] (A)
K15922	yihQ; alpha-glucosidase; K15922 alpha-glucosidase [EC:3.2.1.20] (A)
K15923	FUC95A; alpha-L-fucosidase 2; K15923 alpha-L-fucosidase 2 [EC:3.2.1.51] (A)
K15924	xynC; endo-xylanase (EC:3.2.1.75); K15924 glucuronoarabinoxylan endo-1,4-beta-xylanase [EC:3.2.1.136] (A)
K15925	XYL1; alpha-xylosidase 1; K15925 alpha-D-xyloside xylohydrolase [EC:3.2.1.177] (A)
K15926	SubName: Full=GF14928;
K15927	SubName: Full=Phosphoglycerate mutase family protein;
K15928	SubName: Full=Putative uncharacterized protein;
K15929	SubName: Full=Putative uncharacterized protein;
K15930	SubName: Full=Protein CBG03222;
K15931	SubName: Full=Protein CBG12386;
K15932	SubName: Full=Protein CBR-STO-3;
K15933	SubName: Full=Protein CBR-TWK-44;
K15934	SubName: Full=Protein CBR-LIN-59;
K15935	SubName: Full=Protein CBG17285;
K15936	SubName: Full=GF24968;
K15937	SubName: Full=GF24832;
K15938	SubName: Full=GF24965;
K15939	SubName: Full=GF24966;
K15940	SubName: Full=Butyrophilin subfamily 2 member A1; Flags: Fragment;
K15941	SubName: Full=Protein transport protein Sec61 subunit alpha isoform 2; Flags: Fragment;
K15942	SubName: Full=Selenocysteine lyase; Flags: Fragment;
K15943	SubName: Full=Phosphatidylinositol-glycan biosynthesis class X protein; Flags: Fragment;
K15944	SubName: Full=Diphosphomevalonate decarboxylase; EC=4.1.1.33;
K15945	SubName: Full=GF10170;
K15946	SubName: Full=Transporter, putative;
K15947	SubName: Full=Putative uncharacterized protein;
K15948	SubName: Full=Ribosomal protein, putative;
K15949	SubName: Full=Chromosome undetermined scaffold_103, whole genome shotgun sequence;
K15950	SubName: Full=MHC class I antigen; Flags: Fragment;
K15951	SubName: Full=Putative uncharacterized protein;
K15952	SubName: Full=Putative uncharacterized protein;
K15953	RecName: Full=Maf-like protein GL50803_13889;
K15954	RecName: Full=Carminomycin 4-O-methyltransferase; Short=COMT; EC=2.1.1.-;
K15955	SubName: Full=Cytochrome oxidase subunit 1; Flags: Fragment;
K15956	SubName: Full=GF20377;
K15957	SubName: Full=Putative uncharacterized protein;
K15958	SubName: Full=Putative uncharacterized protein;
K15959	SubName: Full=Chromosome undetermined scaffold_155, whole genome shotgun sequence;
K15960	SubName: Full=Chromosome undetermined scaffold_155, whole genome shotgun sequence;
K15961	SubName: Full=Chromosome undetermined scaffold_155, whole genome shotgun sequence;
K15962	SubName: Full=Chromosome undetermined scaffold_155, whole genome shotgun sequence;
K15963	SubName: Full=Chromosome undetermined scaffold_155, whole genome shotgun sequence;
K15964	SubName: Full=Chromosome undetermined scaffold_155, whole genome shotgun sequence;
K15965	SubName: Full=Chromosome undetermined scaffold_155, whole genome shotgun sequence;
K15966	SubName: Full=Chromosome undetermined scaffold_155, whole genome shotgun sequence;
K15967	SubName: Full=Chromosome undetermined scaffold_155, whole genome shotgun sequence;
K15968	RecName: Full=Tetracenomycin polyketide synthesis protein tcmI;
K15969	RecName: Full=Tetracenomycin polyketide synthesis hydroxylase tcmH; EC=1.-.-.-;
K15970	RecName: Full=Tetracenomycin polyketide synthesis 8-O-methyl transferase tcmO; EC=2.1.1.-;
K15971	RecName: Full=Tetracenomycin polyketide synthesis O-methyltransferase tcmP; EC=2.1.1.-;
K15972	RecName: Full=Tetracenomycin polyketide synthesis hydroxylase TcmG; EC=1.14.13.-;
K15973	MarR family transcriptional regulator; K15973 MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor (A)
K15974	mprA; DNA-binding transcriptional repressor of microcin B17 synthesis and multidrug efflux; K15974 MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB (A)
K15975	glyoxalase/bleomycin resistance protein/dioxygenase; K15975 glyoxalase family protein (A)
K15976	ydfN; oxidoreductase (EC:1.-.-.-); K15976 putative NAD(P)H nitroreductase [EC:1.-.-.-] (A)
K15977	yphA; predicted inner membrane protein; K15977 putative oxidoreductase (A)
K15978	AKAP8L, HA95, HAP95, NAKAP, NAKAP95; A kinase (PRKA) anchor protein 8-like; K15978 A-kinase anchor protein 8-like protein (A)
K15979	SND1, TDRD11, p100; staphylococcal nuclease and tudor domain containing 1; K15979 staphylococcal nuclease domain-containing protein 1 (A)
K15980	ACAD9, NPD002; acyl-CoA dehydrogenase family, member 9; K15980 Acyl-CoA dehydrogenase family member 9 [EC:1.3.99.-] (A)
K15981	cyp125; cytochrome P450 125 (EC:1.14.-.-); K15981 cytochrome P450, family 125, subfamily A, polypeptide 1 (cholest-4-en-3-one 26-monooxygenase) [EC:1.14.13.141] (A)
K15982	Rieske (2Fe-2S) domain-containing protein; K15982 3-ketosteroid 9alpha-monooxygenase subunit A [EC:1.14.13.142] (A)
K15983	ferredoxin; K15983 3-ketosteroid 9alpha-monooxygenase subunit B [EC:1.14.13.142] (A)
K15984	yhiQ; predicted SAM-dependent methyltransferase; K15984 16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242] (A)
K15985	PKIA, PRKACN1; protein kinase (cAMP-dependent, catalytic) inhibitor alpha; K15985 cAMP-dependent protein kinase inhibitor alpha (A)
K15986	putative manganese-dependent inorganic pyrophosphatase; K15986 manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1] (A)
K15987	hppA; membrane-bound proton-translocating pyrophosphatase (EC:3.6.1.1); K15987 K(+)-stimulated pyrophosphate-energized sodium pump [EC:3.6.1.1] (A)
K15988	SubName: Full=Dual-specificity protein kinase CLK3; Flags: Fragment;
K15989	SubName: Full=DNA replication licensing factor MCM3;
K15990	SubName: Full=Glycosyltransferase-like protein LARGE1;
K15991	SubName: Full=GF10422;
K15992	RecName: Full=Cytochrome c oxidase subunit 2; Flags: Fragment;
K15993	RecName: Full=ATP synthase subunit a;
K15994	SubName: Full=GF15392;
K15995	RecName: Full=Demethylmacrocin O-methyltransferase; EC=2.1.1.102; AltName: Full=Tylosin biosynthesis protein E;
K15996	RecName: Full=Macrocin O-methyltransferase; Short=MacOMeTase; EC=2.1.1.101; AltName: Full=Tylosin biosynthesis protein F;
K15997	eryCII; TDP-4-keto-6-deoxy-glucose 3,4-isomerase; K15997 desosaminyltransferase auxiliary protein (A)
K15998	RecName: Full=Cytochrome c oxidase subunit 1; EC=1.9.3.1;
K15999	RecName: Full=NADH-ubiquinone oxidoreductase chain 2; EC=1.6.5.3;
K16000	SubName: Full=GF20828;
K16001	SubName: Full=GF21434;
K16002	SubName: Full=GF20829;
K16003	SubName: Full=GF20830;
K16004	SubName: Full=GF20833;
K16005	SubName: Full=GF20834;
K16006	SubName: Full=Spermatogenesis-associated protein 22; Flags: Fragment;
K16007	RecName: Full=Oleandomycin polyketide synthase, modules 5 and 6;
K16008	SubName: Full=CG34182;
K16009	SubName: Full=Deoxyribonuclease-1;
K16010	SubName: Full=Brain-specific angiogenesis inhibitor 1-associated protein 2; Flags: Fragment;
K16011	phosphomannose isomerase-GDP-mannose pyrophosphorylase; K16011 mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8] (A)
K16012	cydC; fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component; K16012 ATP-binding cassette, subfamily C, bacterial CydC (A)
K16013	cydD; fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component; K16013 ATP-binding cassette, subfamily C, bacterial CydD (A)
K16014	sigma-54 interacting domain-containing protein; K16014 ATP-binding cassette, subfamily C, bacterial CydCD (A)
K16015	oxidoreductase domain-containing protein; K16015 oxidoreductase (A)
K16016	DegT/DnrJ/EryC1/StrS aminotransferase; K16016 3-amino-5-hydroxybenzoate synthase (A)
K16017	AHBA synthesis associated protein; K16017 AHBA synthesis associated protein (A)
K16018	ROK family protein; K16018 kanosamine 6-kinase (A)
K16019	rifH; aminoDAHP synthase; K16019 3,4-Dideoxy-4-amino-D-arabino-heptulosonate 7-phosphate synthase (A)
K16020	3-dehydroquinate synthase; K16020 5-deoxy-5-amino-3-dehydroquinate synthase (A)
K16021	3-dehydroquinate dehydratase; K16021 5-deoxy-5-amino-3-dehydroquinate dehydratase (A)
K16022	FAD-binding monooxygenase; K16022 flavoprotein hydroxylase (A)
K16023	acyltransferase; K16023 acetyltransferase (A)
K16024	SubName: Full=Putative uncharacterized protein;
K16025	SubName: Full=FKBP-rapamycin associated protein;
K16026	SubName: Full=FKBP-rapamycin associated protein;
K16027	SubName: Full=DNA replication licensing factor MCM7;
K16028	SubName: Full=Cytoplasmic superoxide dismutase;
K16029	SubName: Full=COP9 signalosome complex subunit 2;
K16030	SubName: Full=Lamin b receptor;
K16031	SubName: Full=Putative uncharacterized protein;
K16032	SubName: Full=Ccr4-not transcription complex;
K16033	SubName: Full=Poly;
K16034	SubName: Full=Pol-like protein;
K16035	SubName: Full=Tetratricopeptide repeat protein, tpr;
K16036	SubName: Full=Putative uncharacterized protein;
K16037	SubName: Full=Poly;
K16038	SubName: Full=Ded1-like DEAD-box RNA helicase;
K16039	SubName: Full=Putative uncharacterized protein;
K16040	OMT2.1; O-methyltransferase; K16040 trans-resveratrol di-O-methyltransferase [EC:2.1.1.240] (A)
K16041	NleA11 protein; K16041 non-LEE-encoded effector NleA (A)
K16042	non-LEE-encoded effector NleH; K16042 non-LEE-encoded effector NleH (A)
K16043	yisS; dehydrogenase (EC:1.-.-.-); K16043 scyllo-inositol dehydrogenase (NAD+) [EC:1.1.1.-] (A)
K16044	ydgJ; oxidoreductase; K16044 scyllo-inositol dehydrogenase (NADP+) [EC:1.1.1.-] (A)
K16045	cholesterol dehydrogenase (EC:1.1.1.-); K16045 3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase [EC:1.1.1.145 5.3.3.1] (A)
K16046	cyp142; cytochrome P450 monooxygenase 142 (EC:1.14.-.-); K16046 cytochrome P450, family 142, subfamily A, polypeptide 1 (A)
K16047	acyl-CoA dehydrogenase, type 2, C-terminal domain protein; K16047 3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase subunit HsaA [EC:1.14.14.12] (A)
K16048	flavin reductase domain-containing protein; K16048 3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase subunit HsaB (Flavin:NADH reductase) (A)
K16049	glyoxalase/bleomycin resistance protein/dioxygenase; K16049 3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase [EC:1.13.11.25] (A)
K16050	alpha/beta hydrolase fold protein; K16050 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase [EC:3.7.1.17] (A)
K16051	tesI; 3-ketosteroid-delta4(5alpha)-dehydrogenase; K16051 3-ketosteroid delta4-dehydrogenase (A)
K16052	uncharacterized LOC100831405; K16052 MscS family membrane protein (A)
K16053	mscM; mechanosensitive channel protein, miniconductance; K16053 miniconductance mechanosensitive channel (A)
K16054	Enolase-phosphatase E1; K16054 methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1 [EC:4.2.1.109 3.1.3.77] (A)
K16055	Tps1; Trehalose-6-phosphate synthase 1 (EC:2.4.1.15); K16055 trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12] (A)
K16056	ORAI1, CRACM1, ORAT1, TMEM142A; ORAI calcium release-activated calcium modulator 1; K16056 calcium release-activated calcium channel protein 1 (A)
K16057	ORAI2, C7orf19, CBCIP2, MEM142B, TMEM142B; ORAI calcium release-activated calcium modulator 2; K16057 protein Orai-2 (A)
K16058	ORAI3, TMEM142C; ORAI calcium release-activated calcium modulator 3; K16058 protein Orai-3 (A)
K16059	STIM2; stromal interaction molecule 2; K16059 stromal interaction molecule (A)
K16060	BIRC2, API1, HIAP2, Hiap-2, MIHB, RNF48, c-IAP1, cIAP1; baculoviral IAP repeat containing 2; K16060 baculoviral IAP repeat-containing protein 2/3 (A)
K16061	BIRC8, ILP-2, ILP2, hILP2; baculoviral IAP repeat containing 8; K16061 baculoviral IAP repeat-containing protein 7/8 (A)
K16062	CCL21, 6Ckine, CKb9, ECL, SCYA21, SLC, TCA4; chemokine (C-C motif) ligand 21; K16062 C-C motif chemokine 21 (A)
K16063	PIAS2, ARIP3, DIP, MIZ, MIZ1, PIASX, PIASX-ALPHA, PIASX-BETA, SIZ2, ZMIZ4; protein inhibitor of activated STAT, 2; K16063 E3 SUMO-protein ligase PIAS2 [EC:6.3.2.-] (A)
K16064	PIAS3, ZMIZ5; protein inhibitor of activated STAT, 3; K16064 E3 SUMO-protein ligase PIAS3 [EC:6.3.2.-] (A)
K16065	PIAS4, PIASY, Piasg, ZMIZ6; protein inhibitor of activated STAT, 4; K16065 E3 SUMO-protein ligase PIAS4 [EC:6.3.2.-] (A)
K16066	NADP-dependent L-serine/L-allo-threonine dehydrogenase ydfG-like; K16066 malonic semialdehyde reductase [EC:1.1.1.-] (A)
K16067	ADAM11, MDC; ADAM metallopeptidase domain 11; K16067 disintegrin and metalloproteinase domain-containing protein 11 [EC:3.4.24.-] (A)
K16068	ADAM22, ADAM_22, MDC2; ADAM metallopeptidase domain 22; K16068 disintegrin and metalloproteinase domain-containing protein 22 [EC:3.4.24.-] (A)
K16069	ADAM29, CT73, svph1; ADAM metallopeptidase domain 29; K16069 disintegrin and metalloproteinase domain-containing protein 29 [EC:3.4.24.-] (A)
K16070	ADAM32; ADAM metallopeptidase domain 32; K16070 disintegrin and metalloproteinase domain-containing protein 32 [EC:3.4.24.-] (A)
K16071	ADAM7, ADAM_7, ADAM-7, EAPI, GP-83, GP83; ADAM metallopeptidase domain 7; K16071 disintegrin and metalloproteinase domain-containing protein 7 [EC:3.4.24.-] (A)
K16072	ERC1, Cast2, ELKS, RAB6IP2; ELKS/RAB6-interacting/CAST family member 1; K16072 ELKS/RAB6-interacting/CAST family member 1 (A)
K16073	ALR2; Alr2p; K16073 magnesium transporter (A)
K16074	ydaN; predicted Zn(II) transporter; K16074 zinc transporter (A)
K16075	MRS2, HPT, MRS2L; MRS2 magnesium homeostasis factor homolog (S. cerevisiae); K16075 magnesium transporter (A)
K16076	porin; K16076 outer membrane porin protein LC (A)
K16077	scrY; sucrose porin; K16077 sucrose porin (A)
K16078	ail; attachment invasion locus protein; K16078 attachment invasion locus protein (A)
K16079	outer-membrane protein; K16079 outer membrane immunogenic protein (A)
K16080	outer membrane protein A-like (OmpA-like); K16080 high affinity Mn2+ porin (A)
K16081	algE; Alginate production outer membrane protein AlgE; K16081 alginate production protein (A)
K16082	Os02g0571800; K16082 ent-isokaurene synthase [EC:4.2.3.103] (A)
K16083	Os02g0570500; K16083 cytochrome P450, family 71, subfamily Z, polypeptide 6 (ent-isokaurene C2-hydroxylase) [EC:1.14.13.143] (A)
K16084	Os02g0569900; K16084 cytochrome P450, family 76, subfamily M, polypeptide 7 (ent-cassa-12,15-diene 11-hydroxylase) [EC:1.14.13.145] (A)
K16085	Os04g0178400; K16085 cytochrome P450, family 99, subfamily A, polypeptide 3 (9beta-pimara-7,15-diene oxidase) [EC:1.14.13.144] (A)
K16087	outer membrane receptor for iron compound or colicin; K16087 hemoglobin/transferrin/lactoferrin receptor protein (A)
K16088	fhuE; ferric-rhodotorulic acid outer membrane transporter; K16088 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid (A)
K16089	fepA; iron-enterobactin outer membrane transporter; K16089 outer membrane receptor for ferrienterochelin and colicins (A)
K16090	fiu; catecholate siderophore receptor Fiu; K16090 catecholate siderophore receptor (A)
K16091	fecA; KpLE2 phage-like element; ferric citrate outer membrane transporter; K16091 Fe(3+) dicitrate transport protein (A)
K16092	btuB; vitamin B12/cobalamin outer membrane transporter; K16092 vitamin B12 transporter (A)
K16093	RecName: Full=Bacitracin synthase 1; Short=BA1; Includes: RecName: Full=ATP-dependent isoleucine adenylase; Short=IleA; AltName: Full=Isoleucine activase; Includes: RecName: Full=ATP-dependent cysteine adenylase; Short=CysA; AltName: Full=Cysteine activase; Includes: RecName: Full=ATP-dependent leucine adenylase; Short=LeuA; AltName: Full=Leucine activase; Includes: RecName: Full=ATP-dependent glutamate adenylase; Short=GluA; AltName: Full=Glutamate activase; Includes: RecName: Full=ATP-dependent isoleucine adenylase; Short=IleA; AltName: Full=Isoleucine activase; Includes: RecName: Full=Glutamate racemase; EC=5.1.1.3;
K16094	RecName: Full=Bacitracin synthase 2; Short=BA2; Includes: RecName: Full=ATP-dependent lysine adenylase; Short=LysA; AltName: Full=Lysine activase; Includes: RecName: Full=ATP-dependent D-ornithine adenylase; Short=D-OrnA; AltName: Full=D-ornithine activase; Includes: RecName: Full=Ornithine racemase; EC=5.1.1.12;
K16095	RecName: Full=Bacitracin synthase 3; Short=BA3; Includes: RecName: Full=ATP-dependent isoleucine adenylase; Short=IleA; AltName: Full=Isoleucine activase; Includes: RecName: Full=ATP-dependent D-phenylalanine adenylase; Short=D-PheA; AltName: Full=D-phenylalanine activase; Includes: RecName: Full=ATP-dependent histidine adenylase; Short=HisA; AltName: Full=Histidine activase; Includes: RecName: Full=ATP-dependent D-aspartate adenylase; Short=D-AspA; AltName: Full=D-aspartate activase; Includes: RecName: Full=ATP-dependent asparagine adenylase; Short=AsnA; AltName: Full=Asparagine activase; Includes: RecName: Full=Aspartate racemase; EC=5.1.1.13; Includes: RecName: Full=Phenylalanine racemase [ATP hydrolyzing]; EC=5.1.1.11;
K16096	RecName: Full=Gramicidin S synthase 1; AltName: Full=Gramicidin S synthase I; Includes: RecName: Full=ATP-dependent D-phenylalanine adenylase; Short=D-PheA; AltName: Full=D-phenylalanine activase; Includes: RecName: Full=Phenylalanine racemase [ATP-hydrolyzing]; EC=5.1.1.11;
K16097	RecName: Full=Gramicidin S synthase 2; AltName: Full=Gramicidin S synthase II; Includes: RecName: Full=ATP-dependent proline adenylase; Short=ProA; AltName: Full=Proline activase; Includes: RecName: Full=ATP-dependent valine adenylase; Short=ValA; AltName: Full=Valine activase; Includes: RecName: Full=ATP-dependent ornithine adenylase; Short=OrnA; AltName: Full=Ornithine activase; Includes: RecName: Full=ATP-dependent leucine adenylase; Short=LeuA; AltName: Full=Leucine activase;
K16098	SubName: Full=Elongation factor 1 alpha; Flags: Fragment;
K16099	SubName: Full=Elongation factor 1 alpha; Flags: Fragment;
K16100	SubName: Full=Elongation factor 1 alpha; Flags: Fragment;
K16101	SubName: Full=Cytidine and deoxycytidylate deaminase family protein; Flags: Fragment;
K16102	SubName: Full=Elongation factor 1 alpha; Flags: Fragment;
K16103	SubName: Full=Elongation factor 1 alpha; Flags: Fragment;
K16104	SubName: Full=Elongation factor 1 alpha; Flags: Fragment;
K16105	SubName: Full=Elongation factor 1 alpha; Flags: Fragment;
K16106	RecName: Full=Cytochrome b; Flags: Fragment;
K16107	RecName: Full=Cytochrome b; Flags: Fragment;
K16108	RecName: Full=Cytochrome b; Flags: Fragment;
K16109	RecName: Full=Cytochrome b; Flags: Fragment;
